ALERT | 2023-10-07, 20:42:15 > Status 400: Bad Request | {"success":false,"message":"Bad request. Please provide a valid category ID.","status":400,"path":"/v1/customers/0"} []
ALERT | 2023-10-07, 20:57:04 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":404,"path":"/v1/payments"} []
ALERT | 2023-10-07, 20:58:11 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 20:58:29 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 20:58:39 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 20:59:39 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 21:00:07 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 21:01:12 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 21:01:18 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 21:14:38 > Status 400: Bad Request | {"success":false,"message":"Request must be either a float or an integer only.","status":400,"path":"/v1/payments"} []
ALERT | 2023-10-07, 21:21:37 > Status 400: Bad Request | {"success":false,"message":"Request must be of type 'string'.","status":400,"path":"/v1/customers"} []
ALERT | 2023-10-07, 21:24:48 > Status 400: Bad Request | {"success":false,"message":"Request must be of type 'string'.","status":400,"path":"/v1/customers"} []
ALERT | 2023-10-07, 21:25:05 > Status 400: Bad Request | {"success":false,"message":"Request must be of type 'string'.","status":400,"path":"/v1/customers"} []
ALERT | 2023-10-08, 14:30:52 > Internal Server Error | [] []
ALERT | 2023-10-08, 14:30:52 > Internal Server Error | [] []
ALERT | 2023-10-08, 14:31:41 > Internal Server Error | [] []
ALERT | 2023-10-08, 14:32:08 > Internal Server Error | [] []
